주소,위도,경도
서울특별시 강남구  ,37.5177,127.0473
서울특별시 강남구 강남대로 240,37.4853157,127.034433
서울특별시 강남구 강남대로 256,37.4865418,127.0334376
서울특별시 강남구 강남대로 272,37.4877813,127.0329377
서울특별시 강남구 강남대로 324,37.4921677,127.0308332
서울특별시 강남구 강남대로112길 41,37.5063421,127.02768805
서울특별시 강남구 강남대로120길 58,37.507482139407415,127.02564054821542
서울특별시 강남구 강남대로124길 51,37.51057758570569,127.02671332400108
서울특별시 강남구 강남대로128길 27,37.5104168,127.0243094
서울특별시 강남구 강남대로132길 26,37.512694674002546,127.02362733002768
서울특별시 강남구 강남대로132길 42,37.512694674002546,127.02362733002768
서울특별시 강남구 강남대로136길 40,37.51387704668483,127.02368176648805
서울특별시 강남구 강남대로146길 28,37.514276699999996,127.02187898376518
서울특별시 강남구 강남대로160길 33,37.51985832106417,127.02090221879388
서울특별시 강남구 강남대로162길 27-26,37.5203915532202,127.0207710207285
서울특별시 강남구 강남대로162길 41-8,37.5203915532202,127.0207710207285
서울특별시 강남구 강남대로44길 24,37.48598166045554,127.03487408393501
서울특별시 강남구 강남대로48길 15,37.48689658426856,127.03427232732298
서울특별시 강남구 강남대로48길 24,37.48689658426856,127.03427232732298
서울특별시 강남구 강남대로54길 6,37.48831971009031,127.0342103409358
서울특별시 강남구 강남대로84길 33,37.4976997,127.0309896
서울특별시 강남구 강남대로94길 27-7,37.500478031546045,127.02941435789772
서울특별시 강남구 강남대로94길 51-14,37.500478031546045,127.02941435789772
서울특별시 강남구 개포로 264,37.4786426,127.05391
서울특별시 강남구 개포로 303,37.48312625,127.05414629967748
서울특별시 강남구 개포로 307,37.4833128,127.05634886954856
서울특별시 강남구 개포로 310,37.4831507,127.0589009
서울특별시 강남구 개포로 311,37.479388705629454,127.05079788648855
서울특별시 강남구 개포로 405,37.49654195582506,127.08852090378437
서울특별시 강남구 개포로 407,37.479388705629454,127.05079788648855
서울특별시 강남구 개포로 409,37.487919149999996,127.06129295833333
서울특별시 강남구 개포로 411,37.48769925,127.0621724443319
서울특별시 강남구 개포로 516,37.48744295,127.07198569452021
서울특별시 강남구 개포로109길 21,37.49386050354107,127.07686694242041
서울특별시 강남구 개포로109길 5,37.4923339,127.07461350554291
서울특별시 강남구 개포로109길 69,37.49386050354107,127.07686694242041
서울특별시 강남구 개포로109길 9,37.4941912,127.075245
서울특별시 강남구 개포로110길 15,37.491500599999995,127.07744764031243
서울특별시 강남구 개포로110길 21,37.49094395,127.0779623112164
서울특별시 강남구 개포로110길 38,37.491563162687335,127.07673433356472
서울특별시 강남구 개포로110길 43,37.49155285,127.07968792310388
서울특별시 강남구 개포로110길 50,37.491563162687335,127.07673433356472
서울특별시 강남구 개포로124길 27,37.4929458,127.0838194
서울특별시 강남구 개포로15길 32-8,37.478916598704274,127.0448375186125
서울특별시 강남구 개포로31길 3-12,37.4818588048379,127.0487716986156
서울특별시 강남구 개포로31길 9-5,37.4818588048379,127.0487716986156
서울특별시 강남구 개포로31길 9-9,37.4818588048379,127.0487716986156
서울특별시 강남구 광평로10길 15,37.4820308,127.0821618
서울특별시 강남구 광평로10길 6,37.4818964,127.0775402
서울특별시 강남구 광평로19길 10,37.4847405,127.087648
서울특별시 강남구 광평로19길 15,37.4838803,127.08584305562806
서울특별시 강남구 광평로31길 27,37.4849026,127.0907072
서울특별시 강남구 광평로34길 35,37.4811117,127.0952737
서울특별시 강남구 광평로34길 55,37.48159472805652,127.09161204627962
서울특별시 강남구 광평로39길 3,37.4853284,127.0965424
서울특별시 강남구 광평로47길 17,37.487079,127.0984725
서울특별시 강남구 광평로51길 22,37.4894765,127.1036055
서울특별시 강남구 광평로51길 27,37.488567149999994,127.10176867617406
서울특별시 강남구 광평로51길 49,37.491139,127.1002072
서울특별시 강남구 광평로56길 11,37.487319,127.1051756
서울특별시 강남구 광평로60길 32,37.4874904066524,127.10691636680255
서울특별시 강남구 남부순환로 2615,37.485151,127.0357865
서울특별시 강남구 남부순환로 2740,37.48627995,127.04615314283731
서울특별시 강남구 남부순환로 2803,37.4897851,127.0506802
서울특별시 강남구 남부순환로351길 23,37.48652353509251,127.03406389136224
서울특별시 강남구 남부순환로351길 4,37.4852068,127.0348879
서울특별시 강남구 남부순환로363길 30,37.48631117951866,127.03860657162843
서울특별시 강남구 남부순환로363길 49,37.48631117951866,127.03860657162843
서울특별시 강남구 남부순환로363길 9-6,37.48631117951866,127.03860657162843
서울특별시 강남구 남부순환로365길 16,37.48788665215995,127.03987008133502
서울특별시 강남구 남부순환로365길 33,37.48788665215995,127.03987008133502
서울특별시 강남구 남부순환로365길 43,37.48788665215995,127.03987008133502
서울특별시 강남구 남부순환로365길 5,37.48788665215995,127.03987008133502
서울특별시 강남구 남부순환로370길 20,37.48417563121772,127.04272813472079
서울특별시 강남구 남부순환로373길 14,37.48771122116206,127.04418670264492
서울특별시 강남구 남부순환로373길 15,37.48771122116206,127.04418670264492
서울특별시 강남구 남부순환로373길 21,37.48771122116206,127.04418670264492
서울특별시 강남구 남부순환로373길 23,37.48771122116206,127.04418670264492
서울특별시 강남구 남부순환로373길 26,37.48771122116206,127.04418670264492
서울특별시 강남구 남부순환로373길 3,37.48771122116206,127.04418670264492
서울특별시 강남구 남부순환로373길 9,37.48771122116206,127.04418670264492
서울특별시 강남구 남부순환로375길 6,37.48660398567682,127.04433643175216
서울특별시 강남구 남부순환로377길 18,37.48759567715791,127.04514455572529
서울특별시 강남구 남부순환로377길 22,37.48759567715791,127.04514455572529
