,대구분,소구분,역명,위도,경도
447,지하철,분당선,매탄권선,37.252759,127.040566
448,지하철,분당선,망포,37.245795,127.057353
449,지하철,분당선,영통,37.251568,127.071394
450,지하철,분당선,청명,37.259489,127.078934
451,지하철,분당선,상갈,37.26181,127.108847
452,지하철,분당선,기흥,37.275061,127.11591
453,지하철,분당선,신갈,37.286102,127.111313
454,지하철,분당선,구성,37.298969,127.105664
455,지하철,분당선,죽전,37.324753,127.107395
456,지하철,분당선,보정,37.312752,127.108196
457,지하철,분당선,이매,37.395371,127.128248
458,지하철,분당선,오리,37.339824,127.108942
459,지하철,분당선,미금,37.350077,127.10891
460,지하철,분당선,정자,37.365994,127.10807
461,지하철,분당선,수내,37.378455,127.114322
462,지하철,분당선,서현,37.385126,127.123592
463,지하철,분당선,야탑,37.411185,127.128715
464,지하철,분당선,모란,37.432052,127.129104
465,지하철,분당선,태평,37.440019,127.127709
466,지하철,분당선,가천대,37.448605,127.126697
467,지하철,분당선,선정릉,37.510735,127.043677
468,지하철,분당선,강남구청,37.517469,127.041151
469,지하철,분당선,압구정로데오,37.527381,127.040534
470,지하철,분당선,서울숲,37.543617,127.044707
471,지하철,분당선,수원,37.265917,126.999422
472,지하철,경인선,도화,37.46607,126.668672
473,지하철,경인선,중동,37.486562,126.764843
474,지하철,경인선,온수(성공회대입구),37.492433,126.824086
475,지하철,경인선,도원,37.468446,126.642706
476,지하철,경인선,간석,37.464737,126.694181
477,지하철,경인선,부개,37.488418,126.74109
478,지하철,경인선,소사,37.482753,126.79544
479,지하철,경인선,구일,37.496756,126.870793
480,지하철,경인선,인천,37.476079,126.616801
481,지하철,경인선,동인천,37.475276,126.632802
482,지하철,경인선,제물포,37.466769,126.656666
483,지하철,경인선,주안,37.465047,126.679742
484,지하철,경인선,동암,37.471408,126.702896
485,지하철,경인선,백운,37.483664,126.707704
486,지하철,경인선,부평,37.489445,126.724506
487,지하철,경인선,송내,37.4876,126.753664
488,지하철,경인선,부천,37.48405,126.782686
489,지하철,경인선,역곡,37.485178,126.811502
490,지하철,경인선,오류동,37.494526,126.845365
491,지하철,경인선,개봉,37.494594,126.85968
492,지하철,안산선,수리산,37.349801,126.925365
493,지하철,안산선,오이도,37.362357,126.738714
494,지하철,안산선,정왕,37.351735,126.742989
495,지하철,안산선,신길온천,37.338212,126.765844
496,지하철,안산선,안산,37.327082,126.788532
497,지하철,안산선,초지,37.320646,126.805913
498,지하철,안산선,고잔,37.316784,126.823144
499,지하철,안산선,중앙,37.315941,126.838573
500,지하철,안산선,한대앞,37.309689,126.85344
501,지하철,안산선,상록수,37.302795,126.866489
502,지하철,안산선,반월,37.312212,126.903524
503,지하철,안산선,대야미,37.328467,126.917332
504,지하철,안산선,산본,37.358101,126.933274
505,지하철,경부선,광명,37.416182,126.884466
506,지하철,경부선,서동탄,37.195504,127.051672
507,지하철,경부선,당정,37.344285,126.948345
508,지하철,경부선,천안,36.810005,127.146826
509,지하철,경부선,두정,36.833705,127.14896
510,지하철,경부선,직산,36.870593,127.143904
511,지하철,경부선,성환,36.916076,127.126964
512,지하철,경부선,평택,36.990726,127.085159
513,지하철,경부선,지제,37.0188,127.070444
514,지하철,경부선,서정리,37.056496,127.052819
515,지하철,경부선,송탄,37.075696,127.054301
516,지하철,경부선,진위,37.109447,127.062278
517,지하철,경부선,오산,37.145885,127.06672
518,지하철,경부선,오산대,37.168953,127.063197
519,지하철,경부선,세마,37.187533,127.04318
520,지하철,경부선,병점,37.207503,127.032731
521,지하철,경부선,세류,37.245025,127.013222
522,지하철,경부선,독산,37.466613,126.889249
523,지하철,경부선,수원,37.266348,126.999561
524,지하철,경부선,화서,37.283862,126.989627
525,지하철,경부선,성균관대,37.300349,126.97075
526,지하철,경부선,의왕,37.320852,126.948217
527,지하철,경부선,군포,37.35356,126.948462
528,지하철,경부선,금정,37.372221,126.943429
529,지하철,경부선,명학,37.384653,126.935433
530,지하철,경부선,안양,37.401592,126.922874
531,지하철,경부선,관악,37.419232,126.908706
532,지하철,경부선,석수,37.435047,126.902295
533,지하철,경부선,금천구청,37.455626,126.89398
534,지하철,경부선,가산디지털단지,37.481581,126.882581
535,지하철,경부선,구로,37.503039,126.881966
536,지하철,경강선,성남,37.39468,127.11945
537,지하철,경강선,여주,37.282308,127.628816
538,지하철,경강선,세종대왕릉,37.295309,127.570938
539,지하철,경강선,부발,37.260192,127.490277
540,지하철,경강선,이천,37.265579,127.44226
541,지하철,경강선,신둔도예촌,37.317185,127.40476
542,지하철,경강선,곤지암,37.351315,127.34674
543,지하철,경강선,초월,37.374419,127.299
544,지하철,경강선,경기광주,37.399907,127.25263
545,지하철,경강선,삼동,37.409522,127.20336
546,지하철,경강선,이매,37.394655,127.127819
547,지하철,경강선,판교,37.394761,127.111217
548,지하철,과천선,금정,37.372209,126.943417
549,지하철,과천선,범계,37.389793,126.950806
550,지하철,과천선,평촌,37.394287,126.963883
551,지하철,과천선,인덕원,37.401553,126.976715
552,지하철,과천선,정부과천청사,37.426513,126.98978
553,지하철,과천선,과천,37.433021,126.996568
554,지하철,과천선,대공원,37.435675,127.006523
555,지하철,과천선,경마공원,37.443885,127.007888
556,지하철,과천선,선바위,37.451673,127.002303
557,지하철,장항선,신창(순천향대),36.769502,126.951108
558,지하철,장항선,온양온천,36.780483,127.003249
559,지하철,장항선,배방,36.777629,127.052991
560,지하철,장항선,탕정,36.78866,127.08485
561,지하철,장항선,아산,36.792053,127.104361
562,지하철,장항선,쌍용(나사렛대),36.793759,127.1214
563,지하철,장항선,봉명,36.801215,127.135763
564,지하철,경춘선,춘천,37.885054,127.717023
565,지하철,경춘선,남춘천,37.864007,127.723792
566,지하철,경춘선,김유정,37.818466,127.71434
567,지하철,경춘선,강촌,37.805723,127.634146
568,지하철,경춘선,백양리,37.830779,127.58933
569,지하철,경춘선,굴봉산,37.832067,127.557695
570,지하철,경춘선,가평,37.814536,127.510739
571,지하철,경춘선,상천,37.770246,127.454821
572,지하철,경춘선,청평,37.735488,127.42661
573,지하철,경춘선,대성리,37.684071,127.379319
574,지하철,경춘선,마석,37.652782,127.311767
575,지하철,경춘선,천마산,37.658978,127.285379
576,지하철,경춘선,평내호평,37.653225,127.244493
577,지하철,경춘선,금곡,37.637382,127.207853
578,지하철,경춘선,사릉,37.65108,127.176933
579,지하철,경춘선,퇴계원,37.648311,127.143952
580,지하철,경춘선,별내,37.64202,127.12684
581,지하철,경춘선,갈매,37.634118,127.114757
582,지하철,경춘선,신내,37.612887,127.103218
583,지하철,경의중앙선,디지털미디어시티,37.577475,126.900453
584,지하철,경의중앙선,홍대입구,37.557641,126.926683
585,지하철,경의중앙선,공덕,37.542596,126.952099
586,지하철,경의중앙선,서울역,37.557231,126.97103
587,지하철,경의중앙선,운천,37.879942,126.769999
588,지하철,경의중앙선,임진강,37.888421,126.746765
589,지하철,경의중앙선,문산,37.854619,126.788047
590,지하철,경의중앙선,파주,37.815298,126.792783
591,지하철,경의중앙선,월롱,37.796188,126.792587
592,지하철,경의중앙선,금촌,37.766217,126.774644
593,지하철,경의중앙선,금릉,37.751322,126.765347
594,지하철,경의중앙선,운정,37.725826,126.767257
595,지하철,경의중앙선,야당,37.712327,126.761356
596,지하철,경의중앙선,탄현,37.694023,126.761086
597,지하철,경의중앙선,일산,37.682077,126.769846
598,지하철,경의중앙선,풍산,37.672346,126.786243
599,지하철,경의중앙선,백마,37.658239,126.794461
600,지하철,경의중앙선,곡산,37.645676,126.801762
601,지하철,경의중앙선,능곡,37.618808,126.820783
602,지하철,경의중앙선,행신,37.612102,126.834146
603,지하철,경의중앙선,강매,37.612314,126.843223
604,지하철,경의중앙선,화전,37.602888,126.868387
605,지하철,경의중앙선,수색,37.580842,126.895611
606,지하철,경의중앙선,디지털미디어시티,37.577475,126.900453
607,지하철,경의중앙선,가좌,37.568491,126.915487
608,지하철,경의중앙선,홍대입구,37.557641,126.926683
609,지하철,경의중앙선,서강대,37.551881,126.935711
610,지하철,경의중앙선,공덕,37.542596,126.952099
611,지하철,경의중앙선,효창공원앞,37.538579,126.96221
612,지하철,경의중앙선,신촌,37.559733,126.942597
613,지하철,경의중앙선,서울역,37.557231,126.97103
614,지하철,중앙선,지평,37.476393,127.629874
615,지하철,중앙선,용문,37.48223,127.594647
616,지하철,중앙선,원덕,37.468672,127.547076
617,지하철,중앙선,양평,37.492773,127.491837
618,지하철,중앙선,오빈,37.506062,127.473868
619,지하철,중앙선,아신,37.51382,127.443173
620,지하철,중앙선,국수,37.516169,127.399367
621,지하철,중앙선,신원,37.525545,127.372921
