,대구분,소구분,병원명,위도,경도
0,병원,의원,가산기대찬의원,37.4803938036867,126.8841224970078
1,병원,의원,365엠씨의원,37.5166041956,127.0218085089
2,병원,병원,(의)가산의료재단광동병원,37.5142810376461,127.062146778337
3,병원,의원,000의원,37.5076445712488,127.022491634375
4,병원,치과의원,가로수치과의원,37.48191798611885,126.9293767300304
5,병원,한의원,경희남촌한의원,37.542512790831,126.843494308118
6,병원,한의원,경희신창한의원,37.5151569085,127.0426343582
7,병원,한방병원,(의)가산의료재단광동한방병원,37.5142810376461,127.062146778337
8,병원,한의원,가좌경희한의원,37.5708141022,126.9127073134
9,병원,의원,(의)미래의료재단리드림의원,37.5080031582356,127.058887185824
10,병원,한의원,10월10일한의원,37.4763877807578,127.040001794114
11,병원,한의원,호정한의원,37.48159350334702,126.92807268340744
12,병원,의원,(의)성광의료재단차움건진의원,37.5077804973225,127.05820568843
13,병원,한의원,21세기한의원,37.5609891377777,126.980011086024
14,병원,한의원,경희백두한의원,37.56086385048082,126.8545572403663
15,병원,의원,97.7비엔에치의원,37.53218945103117,127.01081601251772
16,병원,의원,(의)열린의료재단영등포열린의원,37.5165301858178,126.90604309721
17,병원,의원,10년전당신의오늘의원,37.5236304940728,127.045733608353
18,병원,의원,강북권의료복지사회적협동조합명성의원,37.6723293932498,127.043686692857
19,병원,한의원,경희장원한의원,37.5244875087715,127.026694816905
20,병원,한의원,S앤비한의원,37.5040597913,127.1138783477
21,병원,치과병원,가우디치과병원,37.5078254575,127.0610611946
22,병원,의원,24시열린의원,37.5274862615567,126.871566699077
23,병원,한의원,경희토정한의원,37.49533240162413,127.06391992646373
24,병원,의원,(의)열린의료재단예인의원,37.5672306850318,126.842911175186
25,병원,의원,21성형외과의원,37.5017358451233,127.025278490231
26,병원,의원,가산의원,37.4819121882,126.8815830343
27,병원,의원,365MC의원,37.6530537904638,127.061324512782
28,병원,한의원,경희부부한의원,37.5376937056369,127.140227539906
29,병원,한의원,365공릉차한의원,37.6279664534118,127.072245353338
30,병원,치과의원,강남유닉플란트치과의원,37.56083625181834,126.97904783905594
31,병원,의원,365더튼튼의원,37.4956264999,126.8423261269
32,병원,한의원,강남청아한의원,37.493928353682165,127.06104083245444
33,병원,한방병원,365다시재한방병원,37.4866427532962,127.142262855079
34,병원,의원,1밀리미터성형외과의원,37.5023891093389,127.02594810924924
35,병원,한방병원,365매일한방병원,37.5753483891625,127.024344406042
36,병원,치과의원,강남그랜드치과의원,37.5037879786,127.0235193056
37,병원,치과의원,365열린치과의원,37.507058335897,126.910748289958
38,병원,의원,365메트로의원,37.5111988300765,127.021657861669
39,병원,한의원,365청추나한의원,37.6010893852841,126.926662375326
40,병원,의원,(의)열린의료재단오경식의원,37.4977293058869,126.891852633222
41,병원,의원,강남하이텍의원,37.4796683841344,127.124913859704
42,병원,한의원,경희삼성한의원,37.4724775165,126.9329986313
43,병원,치과의원,CBK최영균치과의원,37.6219534132134,127.075326139356
44,병원,의원,고려MS영상의학과의원,37.495860314768,126.888807280468
45,병원,의원,고려M영상의학과의원,37.5750052699082,127.023557307449
46,병원,한의원,경희동서한의원,37.5416472221,127.1301343938
47,병원,치과의원,2080치과의원,37.50533055555556,127.10604999999998
48,병원,의원,호산소아청소년과의원,37.5225616247,126.9312027152
49,병원,의원,강남준성형외과의원,37.5106505,127.0210421821
50,병원,의원,CNP차앤박피부과의원,37.5227019151559,126.924993896764
51,병원,의원,365문정사랑의원,37.4869810920009,127.127244307271
52,병원,치과의원,골드치과의원,37.5357350021337,127.082165866147
53,병원,한의원,강서온정한의원,37.5736504764,126.8110813709
54,병원,의원,가나이비인후과의원,37.5021563648911,127.012024373585
55,병원,한의원,강산한의원,37.54784991747991,126.8353902740088
56,병원,치과의원,강우곤치과의원,37.573960183476096,126.98707723178786
57,병원,한의원,365본맥한의원,37.6091103235132,127.009548383853
58,병원,의원,365삼성의원,37.4964928018315,127.052199273657
59,병원,의원,강일코모키이비인후과의원,37.56562239138539,127.1738171036809
60,병원,치과의원,365서울원탑치과의원,37.541395697,126.8410394342
